OBJECTID,L0Continuum_of_Care_Grantee_Are,COCNUM,COCCAT,TOT_18,SH_ES_18,SH_TH_18,SH_SH_18,SH_TOT_18,UNSH_TOT_18,IND_TOT_18,SH_ES_IND_18,SH_TH_IND_18,SH_SH_IND_18,SH_TOT_IND_18,UNSH_IND_18,PFAM_TOT_18,SH_ES_PFAM_18,SH_TH_PFAM_18,SH_TOT_PFAM_18,UNSH_PFAM_18,FAM_TOT_18,SH_ES_FAM_18,SH_TH_FAM_18,SH_TOT_FAM_18,UNSH_FAM_18,CH_TOT_18,SH_ES_CH_18,SH_SH_CH_18,SH_TOT_CH_18,UNSH_CH_18,CH_IND_TOT_18,SH_ES_CH_IND_18,SH_SH_CH_IND_18,SH_TOT_CH_IND_18,UNSH_CH_IND_18,CH_PFAM_TOT_18,SH_ES_CH_PFAM_18,SH_TOT_CH_PFAM_18,UNSH_CH_PFAM_18,VETS_TOT_18,SH_ES_VETS_18,SH_TH_VETS_18,SH_SH_VETS_18,SH_TOT_VETS_18,UNSH_VETS_18,UY_TOT_18,SH_ES_UY_18,SH_TH_UY_18,SH_SH_UY_18,SH_TOT_UY_18,UNSH_UY_18,UYLT18_TOT_18,SH_ES_UYLT18_18,SH_TH_UYLT18_18,SH_SH_UYLT18_18,SH_TOT_UYLT18_18,UNSH_UYLT18_18,UY1824_TOT_18,SH_ES_UY1824_18,SH_TH_UY1824_18,SH_SH_UY1824_18,SH_TOT_UY1824_18,UNSH_UY1824_18,PY_TOT_18,SH_ES_PY_18,SH_TH_PY_18,SH_TOT_PY_18,UNSH_PY_18,PYLT18_TOT_18,SH_ES_PYLT18_18,SH_TH_PYLT18_18,SH_TOT_PYLT18_18,UNSH_PYLT18_18,PY1824_TOT_18,SH_ES_PY1824_18,SH_TH_PY1824_18,SH_TOT_PY1824_18,UNSH_PY1824_18,CPY_TOT_18,SH_ES_CPY_18,SH_TH_CPY_18,SH_TOT_CPY_18,UNSH_CPY_18,TOT_13,SH_ES_13,SH_TH_13,SH_SH_13,SH_TOT_13,UNSH_TOT_13,IND_TOT_13,SH_ES_IND_13,SH_TH_IND_13,SH_SH_IND_13,SH_TOT_IND_13,UNSH_IND_13,PFAM_TOT_13,SH_ES_PFAM_13,SH_TH_PFAM_13,SH_TOT_PFAM_13,UNSH_PFAM_13,FAM_TOT_13,SH_ES_FAM_13,SH_TH_FAM_13,SH_TOT_FAM_13,UNSH_FAM_13,CH_TOT_13,SH_ES_CH_13,SH_SH_CH_13,SH_TOT_CH_13,UNSH_CH_13,CH_IND_TOT_13,SH_ES_CH_IND_13,SH_SH_CH_IND_13,SH_TOT_CH_IND_13,UNSH_CH_IND_13,CH_PFAM_TOT_13,SH_ES_CH_PFAM_13,SH_TOT_CH_PFAM_13,UNSH_CH_PFAM_13,VETS_TOT_13,SH_TOT_VETS_13,UNSH_VETS_13,TOT_08,SH_ES_08,SH_TH_08,SH_SH_08,SH_TOT_08,UNSH_TOT_08,IND_TOT_08,SH_ES_IND_08,SH_TH_IND_08,SH_SH_IND_08,SH_TOT_IND_08,UNSH_IND_08,PFAM_TOT_08,SH_ES_PFAM_08,SH_TH_PFAM_08,SH_TOT_PFAM_08,UNSH_PFAM_08,FAM_TOT_08,SH_ES_FAM_08,SH_TH_FAM_08,SH_TOT_FAM_08,UNSH_FAM_08,CH_IND_TOT_08,SH_TOT_CH_IND_08,UNSH_CH_IND_08,Merger_flag,COCNAME,SHAPE_Length,SHAPE_Area
99,Oregon Balance of State CoC,OR-505,Rural CoCs,6392,1042,816,0,1858,4534,4419,820,423,0,1243,3176,1973,222,393,615,1358,672,82,129,211,461,1503,278,0,278,1225,1369,257,0,257,1112,134,21,21,113,474,73,55,0,128,346,641,91,77,0,168,473,243,35,15,0,50,193,398,56,62,0,118,280,53,12,16,28,25,0,0,0,0,0,53,12,16,28,25,58,12,21,33,25,5525,969,1225,5,2199,3326,2978,716,438,5,1159,1819,2547,253,787,1040,1507,834,88,245,333,501,901,276,3,279,622,628,211,3,214,414,273,65,65,208,459,153,306,9860,2328,2542,0,4870,4990,5005,1618,986,0,2604,2401,4855,710,1556,2266,2589,1567,227,506,733,834,1245,667,578,1,Oregon Balance of State CoC,49.6024526954196,22.864349456371
100,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",TX-624,Rural CoCs,238,190,0,5,195,43,212,167,0,5,172,40,26,23,0,23,3,9,8,0,8,1,19,9,0,9,10,19,9,0,9,10,0,0,0,0,15,12,0,0,12,3,35,27,0,0,27,8,13,13,0,0,13,0,22,14,0,0,14,8,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,0,2,0,302,253,0,0,253,49,235,186,0,0,186,49,67,67,0,67,0,28,28,0,28,0,86,56,0,56,30,75,45,0,45,30,11,11,11,0,9,9,0,280,231,0,0,231,49,233,184,0,0,184,49,47,47,0,47,0,14,14,0,14,0,206,157,49,0,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",11.9633563410838,3.54893821269393
101,Salt Lake City & County CoC,UT-500,Suburban CoCs,1804,1356,312,0,1668,136,1184,851,197,0,1048,136,620,505,115,620,0,177,144,33,177,0,227,183,0,183,44,222,178,0,178,44,5,5,5,0,187,58,122,0,180,7,112,69,34,0,103,9,2,1,0,0,1,1,110,68,34,0,102,8,22,19,3,22,0,0,0,0,0,0,22,19,3,22,0,28,23,5,28,0,2133,1367,618,49,2034,99,1341,928,268,49,1245,96,792,439,350,789,3,244,137,106,243,1,313,224,49,273,40,241,156,49,205,36,72,68,68,4,247,241,6,2296,1279,859,0,2138,158,1428,867,403,0,1270,158,868,412,456,868,0,270,125,145,270,0,475,317,158,0,Salt Lake City & County CoC,2.62013857832782,0.222762309485868
102,"Norfolk/Chesapeake, Suffolk, Isle of Wight, Southampton Counties CoC",VA-501,Suburban CoCs,773,597,96,0,693,80,562,439,43,0,482,80,211,158,53,211,0,66,48,18,66,0,90,78,0,78,12,75,63,0,63,12,15,15,15,0,77,64,5,0,69,8,26,23,1,0,24,2,0,0,0,0,0,0,26,23,1,0,24,2,19,12,7,19,0,0,0,0,0,0,19,12,7,19,0,34,23,11,34,0,742,528,169,0,697,45,497,391,65,0,456,41,245,137,104,241,4,74,41,31,72,2,76,54,0,54,22,71,51,0,51,20,5,3,3,2,66,57,9,602,407,102,0,509,93,378,284,27,0,311,67,224,123,75,198,26,78,38,23,61,17,87,61,26,1,"Norfolk/Chesapeake, Suffolk, Isle of Wight, Southampton Counties CoC",5.60908311844383,0.457750288132821
103,Charlottesville CoC,VA-504,Rural CoCs,183,134,21,0,155,28,142,114,0,0,114,28,41,20,21,41,0,11,7,4,11,0,41,28,0,28,13,41,28,0,28,13,0,0,0,0,14,9,0,0,9,5,9,8,0,0,8,1,0,0,0,0,0,0,9,8,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,128,39,0,167,28,153,124,1,0,125,28,42,4,38,42,0,13,2,11,13,0,65,48,0,48,17,61,44,0,44,17,4,4,4,0,16,10,6,239,156,68,0,224,15,183,134,34,0,168,15,56,22,34,56,0,17,7,10,17,0,82,77,5,0,Charlottesville CoC,5.31139458297369,0.575791276566768
104,Lynchburg CoC,VA-508,Rural CoCs,112,92,0,0,92,20,84,64,0,0,64,20,28,28,0,28,0,9,9,0,9,0,8,2,0,2,6,8,2,0,2,6,0,0,0,0,10,8,0,0,8,2,18,14,0,0,14,4,0,0,0,0,0,0,18,14,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,85,59,0,144,6,76,45,25,0,70,6,74,40,34,74,0,22,12,10,22,0,9,7,0,7,2,9,7,0,7,2,0,0,0,0,7,5,2,256,147,64,0,211,45,133,56,33,0,89,44,123,91,31,122,1,45,35,9,44,1,53,30,23,0,Lynchburg CoC,4.46737944435816,0.565527561764437
105,"Wicomico, Somerset, Worcester Counties CoC",MD-513,Rural CoCs,292,228,32,0,260,32,194,157,10,0,167,27,98,71,22,93,5,32,23,8,31,1,56,41,0,41,15,43,33,0,33,10,13,8,8,5,23,20,1,0,21,2,10,10,0,0,10,0,0,0,0,0,0,0,10,10,0,0,10,0,5,3,2,5,0,0,0,0,0,0,5,3,2,5,0,6,3,3,6,0,360,283,36,0,319,41,239,200,8,0,208,31,121,83,28,111,10,38,25,10,35,3,51,44,0,44,7,48,41,0,41,7,3,3,3,0,33,29,4,251,173,41,0,214,37,160,121,9,0,130,30,91,52,32,84,7,39,24,12,36,3,43,32,11,0,"Wicomico, Somerset, Worcester Counties CoC",14.9915505034171,0.318793353628261
106,Prince George's County CoC,MD-600,Suburban CoCs,478,227,166,0,393,85,205,90,30,0,120,85,273,137,136,273,0,88,44,44,88,0,19,16,0,16,3,17,14,0,14,3,2,2,2,0,29,21,0,0,21,8,23,10,11,0,21,2,2,2,0,0,2,0,21,8,11,0,19,2,16,3,13,16,0,0,0,0,0,0,16,3,13,16,0,21,5,16,21,0,686,290,210,0,500,186,316,97,33,0,130,186,370,193,177,370,0,123,61,62,123,0,93,44,0,44,49,69,20,0,20,49,24,24,24,0,25,20,5,943,295,503,0,798,145,573,160,268,0,428,145,370,135,235,370,0,104,40,64,104,0,216,71,145,0,Prince George's County CoC,2.59172085232684,0.131044630228245
107,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",MI-502,Suburban CoCs,211,142,48,8,198,13,74,38,15,8,61,13,137,104,33,137,0,38,29,9,38,0,16,12,4,16,0,10,6,4,10,0,6,6,6,0,12,4,8,0,12,0,2,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,380,105,235,18,358,22,200,41,119,18,178,22,180,64,116,180,0,53,20,33,53,0,20,2,12,14,6,20,2,12,14,6,0,0,0,0,33,29,4,865,374,244,0,618,247,513,292,124,0,416,97,352,82,120,202,150,97,23,31,54,43,122,42,80,0,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",3.47640245691593,0.135006274520988
108,Flint/Genesee County CoC,MI-505,Suburban CoCs,438,321,17,0,338,100,285,180,14,0,194,91,153,141,3,144,9,45,40,1,41,4,30,21,0,21,9,25,18,0,18,7,5,3,3,2,17,6,6,0,12,5,45,35,8,0,43,2,20,20,0,0,20,0,25,15,8,0,23,2,5,5,0,5,0,0,0,0,0,0,5,5,0,5,0,9,9,0,9,0,387,185,85,0,270,117,241,84,40,0,124,117,146,101,45,146,0,62,50,12,62,0,25,12,0,12,13,20,7,0,7,13,5,5,5,0,26,19,7,245,194,33,0,227,18,129,99,20,0,119,10,116,95,13,108,8,40,32,5,37,3,26,23,3,0,Flint/Genesee County CoC,1.81989455437929,0.185791519842117
109,"Lansing, East Lansing/Ingham County CoC",MI-508,Other Urban CoCs,419,340,34,6,380,39,294,220,29,6,255,39,125,120,5,125,0,37,35,2,37,0,43,38,0,38,5,43,38,0,38,5,0,0,0,0,30,9,13,6,28,2,29,21,5,0,26,3,5,1,4,0,5,0,24,20,1,0,21,3,10,10,0,10,0,0,0,0,0,0,10,10,0,10,0,12,12,0,12,0,423,291,66,0,357,66,326,207,53,0,260,66,97,84,13,97,0,30,27,3,30,0,67,48,0,48,19,67,48,0,48,19,0,0,0,0,70,63,7,408,291,100,0,391,17,205,127,61,0,188,17,203,164,39,203,0,77,60,17,77,0,122,105,17,0,"Lansing, East Lansing/Ingham County CoC",2.13909492308256,0.16211661094373
110,"Marquette, Alger Counties CoC",MI-513,Rural CoCs,70,40,21,0,61,9,34,24,1,0,25,9,36,16,20,36,0,12,5,7,12,0,4,3,0,3,1,4,3,0,3,1,0,0,0,0,1,0,1,0,1,0,4,3,0,0,3,1,0,0,0,0,0,0,4,3,0,0,3,1,2,0,2,2,0,0,0,0,0,0,2,0,2,2,0,3,0,3,3,0,74,29,40,0,69,5,58,23,32,0,55,3,16,6,8,14,2,6,3,2,5,1,4,4,0,4,0,4,4,0,4,0,0,0,0,0,3,3,0,37,14,23,0,37,0,16,8,8,0,16,0,21,6,15,21,0,8,3,5,8,0,0,0,0,0,"Marquette, Alger Counties CoC",7.92412089141382,0.850174031106952
111,Battle Creek/Calhoun County CoC,MI-514,Other Urban CoCs,236,126,63,6,195,41,172,73,52,6,131,41,64,53,11,64,0,19,15,4,19,0,25,16,0,16,9,25,16,0,16,9,0,0,0,0,44,13,28,0,41,3,13,4,1,0,5,8,2,0,0,0,0,2,11,4,1,0,5,6,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,0,2,0,236,103,69,0,172,64,167,48,55,0,103,64,69,55,14,69,0,20,15,5,20,0,22,10,0,10,12,20,8,0,8,12,2,2,2,0,77,34,43,274,111,53,0,164,110,193,53,38,0,91,102,81,58,15,73,8,27,20,3,23,4,46,46,0,0,Battle Creek/Calhoun County CoC,1.86488313305492,0.202952852979756
112,Livingston County CoC,MI-518,Suburban CoCs,90,34,44,0,78,12,46,18,21,0,39,7,44,16,23,39,5,13,4,8,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,4,1,13,6,7,0,13,0,4,4,0,0,4,0,9,2,7,0,9,0,3,1,2,3,0,0,0,0,0,0,3,1,2,3,0,5,2,3,5,0,127,46,51,0,97,30,61,13,18,0,31,30,66,33,33,66,0,20,9,11,20,0,10,3,0,3,7,8,1,0,1,7,2,2,2,0,1,1,0,63,23,35,0,58,5,25,15,5,0,20,5,38,8,30,38,0,13,3,10,13,0,4,3,1,0,Livingston County CoC,1.65419416013372,0.166320443936578
113,Minneapolis/Hennepin County CoC,MN-500,Major Cities,3013,1884,709,16,2609,404,1692,957,315,16,1288,404,1321,927,394,1321,0,348,221,127,348,0,490,349,11,360,130,488,347,11,358,130,2,2,2,0,138,62,52,2,116,22,207,82,88,0,170,37,26,10,11,0,21,5,181,72,77,0,149,32,52,20,32,52,0,2,1,1,2,0,50,19,31,50,0,69,28,41,69,0,3591,2449,978,0,3427,164,1623,1113,349,0,1462,161,1968,1336,629,1965,3,514,311,202,513,1,533,475,0,475,58,373,315,0,315,58,160,160,160,0,129,120,9,3369,1777,1036,0,2813,556,1670,844,306,0,1150,520,1699,933,730,1663,36,529,257,260,517,12,905,668,237,0,Minneapolis/Hennepin County CoC,2.04685953274773,0.179297690061098
114,Northwest Minnesota CoC,MN-506,Rural CoCs,274,91,175,0,266,8,109,55,46,0,101,8,165,36,129,165,0,55,14,41,55,0,22,19,0,19,3,19,16,0,16,3,3,3,3,0,4,4,0,0,4,0,37,7,26,0,33,4,7,5,2,0,7,0,30,2,24,0,26,4,17,0,17,17,0,0,0,0,0,0,17,0,17,17,0,22,0,22,22,0,253,101,148,0,249,4,108,46,58,0,104,4,145,55,90,145,0,42,18,24,42,0,36,32,0,32,4,21,17,0,17,4,15,15,15,0,6,3,3,230,66,133,0,199,31,75,28,24,0,52,23,155,38,109,147,8,57,16,38,54,3,39,28,11,0,Northwest Minnesota CoC,13.1735304672961,4.99102141934984
115,Monmouth County CoC,NJ-508,Suburban CoCs,335,129,134,0,263,72,187,84,31,0,115,72,148,45,103,148,0,45,13,32,45,0,40,12,0,12,28,40,12,0,12,28,0,0,0,0,10,7,0,0,7,3,7,5,0,0,5,2,0,0,0,0,0,0,7,5,0,0,5,2,6,1,5,6,0,0,0,0,0,0,6,1,5,6,0,9,2,7,9,0,918,688,194,0,882,36,364,309,28,0,337,27,554,379,166,545,9,202,135,64,199,3,68,61,0,61,7,48,41,0,41,7,20,20,20,0,16,12,4,763,429,247,0,676,87,311,211,44,0,255,56,452,218,203,421,31,140,62,70,132,8,84,74,10,0,Monmouth County CoC,3.73736496005364,0.130932483025013
116,Lakewood Township/Ocean County CoC,NJ-510,Suburban CoCs,354,201,51,0,252,102,193,86,8,0,94,99,161,115,43,158,3,47,35,11,46,1,52,19,0,19,33,44,11,0,11,33,8,8,8,0,10,4,0,0,4,6,20,8,8,0,16,4,7,6,1,0,7,0,13,2,7,0,9,4,3,3,0,3,0,0,0,0,0,0,3,3,0,3,0,5,5,0,5,0,682,572,17,0,589,93,369,268,12,0,280,89,313,304,5,309,4,100,97,1,98,2,90,63,0,63,27,72,45,0,45,27,18,18,18,0,16,8,8,337,262,47,0,309,28,188,149,11,0,160,28,149,113,36,149,0,51,40,11,51,0,40,36,4,0,Lakewood Township/Ocean County CoC,9.42200949823418,0.175383241793593
117,Salem County CoC,NJ-512,Suburban CoCs,49,31,13,0,44,5,14,6,3,0,9,5,35,25,10,35,0,8,6,2,8,0,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,17,23,0,40,4,21,8,9,0,17,4,23,9,14,23,0,9,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,310,157,145,0,302,8,136,104,27,0,131,5,174,53,118,171,3,59,15,43,58,1,28,26,2,0,Salem County CoC,2.0388281676757,0.0943894627308797
118,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",NY-523,Suburban CoCs,257,213,21,0,234,23,225,185,19,0,204,21,32,28,2,30,2,12,10,1,11,1,16,15,0,15,1,12,11,0,11,1,4,4,4,0,26,7,19,0,26,0,17,16,0,0,16,1,5,5,0,0,5,0,12,11,0,0,11,1,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,3,2,1,3,0,262,169,55,0,224,38,180,110,35,0,145,35,82,59,20,79,3,33,23,9,32,1,24,15,0,15,9,21,15,0,15,6,3,0,0,3,55,42,13,166,83,34,0,117,49,110,48,25,0,73,37,56,35,9,44,12,20,14,3,17,3,33,10,23,0,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",6.23406201030096,1.27600528725173
119,"Newburgh, Middletown/Orange County CoC",NY-602,Suburban CoCs,480,342,96,0,438,42,229,133,54,0,187,42,251,209,42,251,0,77,63,14,77,0,101,76,0,76,25,86,61,0,61,25,15,15,15,0,17,11,0,0,11,6,31,19,10,0,29,2,5,5,0,0,5,0,26,14,10,0,24,2,13,12,1,13,0,0,0,0,0,0,13,12,1,13,0,25,24,1,25,0,459,233,47,0,280,179,328,140,9,0,149,179,131,93,38,131,0,43,29,14,43,0,134,50,0,50,84,122,38,0,38,84,12,12,12,0,14,6,8,311,177,40,0,217,94,208,122,0,0,122,86,103,55,40,95,8,35,17,15,32,3,78,55,23,0,"Newburgh, Middletown/Orange County CoC",2.43140343980267,0.233841263080386
120,Cincinnati/Hamilton County CoC,OH-500,Suburban CoCs,1114,810,242,15,1067,47,831,581,188,15,784,47,283,229,54,283,0,82,65,17,82,0,70,62,2,64,6,70,62,2,64,6,0,0,0,0,161,37,106,15,158,3,97,68,27,0,95,2,14,14,0,0,14,0,83,54,27,0,81,2,13,9,4,13,0,0,0,0,0,0,13,9,4,13,0,20,14,6,20,0,1326,636,664,0,1300,26,825,476,323,0,799,26,501,160,341,501,0,148,50,98,148,0,274,262,0,262,12,274,262,0,262,12,0,0,0,0,175,171,4,1116,632,429,0,1061,55,726,448,223,0,671,55,390,184,206,390,0,118,55,63,118,0,269,246,23,0,Cincinnati/Hamilton County CoC,1.76223655491172,0.111432316199339
121,Akron/Summit County CoC,OH-506,Suburban CoCs,587,270,167,17,454,133,462,189,123,17,329,133,125,81,44,125,0,35,23,12,35,0,46,3,5,8,38,46,3,5,8,38,0,0,0,0,64,19,30,7,56,8,44,16,22,0,38,6,14,8,6,0,14,0,30,8,16,0,24,6,4,4,0,4,0,0,0,0,0,0,4,4,0,4,0,6,6,0,6,0,862,345,330,10,685,177,565,238,159,10,407,158,297,107,171,278,19,94,32,56,88,6,211,100,5,105,106,209,98,5,103,106,2,2,2,0,97,35,62,740,325,311,0,636,104,490,236,157,0,393,97,250,89,154,243,7,82,28,52,80,2,212,142,70,0,Akron/Summit County CoC,1.55157721114138,0.116657592101531
122,Oklahoma City CoC,OK-502,Major Cities,1183,635,154,0,789,394,940,510,81,0,591,349,243,125,73,198,45,82,43,25,68,14,260,63,0,63,197,243,57,0,57,186,17,6,6,11,121,50,35,0,85,36,53,29,12,0,41,12,0,0,0,0,0,0,53,29,12,0,41,12,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,2,2,0,2,0,1362,820,249,0,1069,293,1123,694,138,0,832,291,239,126,111,237,2,87,43,43,86,1,313,97,0,97,216,288,72,0,72,216,25,25,25,0,188,140,48,1335,616,397,0,1013,322,1053,512,250,0,762,291,282,104,147,251,31,96,28,56,84,12,304,141,163,0,Oklahoma City CoC,4.64695691156355,0.159668271772016
123,"Eugene, Springfield/Lane County CoC",OR-500,Other Urban CoCs,1641,412,95,0,507,1134,1390,338,31,0,369,1021,251,74,64,138,113,76,22,22,44,32,712,112,0,112,600,677,105,0,105,572,35,7,7,28,173,35,18,0,53,120,132,25,9,0,34,98,25,13,0,0,13,12,107,12,9,0,21,86,2,0,1,1,1,0,0,0,0,0,2,0,1,1,1,2,0,1,1,1,1751,388,261,0,649,1102,1404,318,64,0,382,1022,347,70,197,267,80,108,24,59,83,25,415,140,0,140,275,368,123,0,123,245,47,17,17,30,229,78,151,2137,693,672,0,1365,772,1175,495,201,0,696,479,962,198,471,669,293,290,64,160,224,66,640,456,184,0,"Eugene, Springfield/Lane County CoC",7.15747948270744,1.34056419864258
124,"Portland, Gresham/Multnomah County CoC",OR-501,Major Cities,4019,1804,547,0,2351,1668,3394,1298,505,0,1803,1591,625,506,42,548,77,193,150,15,165,28,1384,467,0,467,917,1312,411,0,411,901,72,56,56,16,448,141,124,0,265,183,314,116,66,0,182,132,13,4,1,0,5,8,301,112,65,0,177,124,19,9,6,15,4,0,0,0,0,0,19,9,6,15,4,21,12,5,17,4,4441,974,1572,0,2546,1895,3183,623,788,0,1411,1772,1258,351,784,1135,123,398,115,246,361,37,1150,158,0,158,992,1006,110,0,110,896,144,48,48,96,413,198,215,3918,674,1610,0,2284,1634,3005,576,866,0,1442,1563,913,98,744,842,71,317,35,252,287,30,596,210,386,0,"Portland, Gresham/Multnomah County CoC",3.05653309041744,0.139100092244644
125,Clackamas County CoC,OR-507,Suburban CoCs,383,3,34,0,37,346,317,0,16,0,16,301,66,3,18,21,45,27,1,7,8,19,125,0,0,0,125,122,0,0,0,122,3,0,0,3,21,0,1,0,1,20,15,0,7,0,7,8,0,0,0,0,0,0,15,0,7,0,7,8,9,0,9,9,0,1,0,1,1,0,8,0,8,8,0,10,0,10,10,0,619,40,101,0,141,478,338,6,16,0,22,316,281,34,85,119,162,53,12,28,40,13,191,4,0,4,187,134,4,0,4,130,57,0,0,57,36,0,36,1576,101,65,0,166,1410,1158,26,15,0,41,1117,418,75,50,125,293,124,24,20,44,80,192,4,188,0,Clackamas County CoC,4.77375590099925,0.5615437841011
126,Chester County CoC,PA-505,Suburban CoCs,579,266,300,0,566,13,365,109,243,0,352,13,214,157,57,214,0,69,56,13,69,0,11,11,0,11,0,11,11,0,11,0,0,0,0,0,206,15,191,0,206,0,6,4,2,0,6,0,0,0,0,0,0,0,6,4,2,0,6,0,7,7,0,7,0,0,0,0,0,0,7,7,0,7,0,7,7,0,7,0,641,240,350,8,598,43,498,201,246,8,455,43,143,39,104,143,0,45,11,34,45,0,72,56,7,63,9,72,56,7,63,9,0,0,0,0,259,259,0,314,137,149,0,286,28,130,100,30,0,130,0,184,37,119,156,28,65,14,36,50,15,56,56,0,0,Chester County CoC,2.66268475919491,0.207310732747641
127,Kentucky Balance of State CoC,KY-500,Rural CoCs,2077,1175,210,0,1385,692,1452,745,99,0,844,608,625,430,111,541,84,182,125,34,159,23,142,80,0,80,62,130,71,0,71,59,12,9,9,3,148,41,61,0,102,46,114,65,11,0,76,38,5,5,0,0,5,0,109,60,11,0,71,38,18,14,3,17,1,0,0,0,0,0,18,14,3,17,1,20,16,3,19,1,2392,1188,604,0,1792,600,1316,683,216,0,899,417,1076,505,388,893,183,349,165,127,292,57,356,144,0,144,212,219,103,0,103,116,137,41,41,96,245,173,72,4027,989,1427,0,2416,1611,1713,513,398,0,911,802,2314,476,1029,1505,809,599,136,286,422,177,259,117,142,0,Kentucky Balance of State CoC,24.8378052191713,10.4863354327674
128,Monroe/Northeast Louisiana CoC,LA-505,Rural CoCs,187,54,125,0,179,8,76,44,29,0,73,3,111,10,96,106,5,34,3,30,33,1,10,7,0,7,3,10,7,0,7,3,0,0,0,0,7,5,1,0,6,1,14,2,12,0,14,0,0,0,0,0,0,0,14,2,12,0,14,0,4,0,4,4,0,0,0,0,0,0,4,0,4,4,0,5,0,5,5,0,200,49,114,9,172,28,88,27,24,9,60,28,112,22,90,112,0,40,9,31,40,0,23,3,7,10,13,23,3,7,10,13,0,0,0,0,6,2,4,276,93,108,0,201,75,109,60,27,0,87,22,167,33,81,114,53,58,11,30,41,17,8,3,5,0,Monroe/Northeast Louisiana CoC,9.05272338580746,1.79668540378473
129,Vancouver/Clark County CoC,WA-508,Suburban CoCs,795,265,156,0,421,374,453,151,69,0,220,233,342,114,87,201,141,104,31,29,60,44,115,55,0,55,60,107,53,0,53,54,8,2,2,6,37,9,7,0,16,21,43,16,3,0,19,24,11,5,0,0,5,6,32,11,3,0,14,18,9,2,7,9,0,1,0,1,1,0,8,2,6,8,0,9,2,7,9,0,703,234,269,10,513,190,352,131,55,10,196,156,351,103,214,317,34,112,31,70,101,11,89,37,10,47,42,81,31,10,41,40,8,6,6,2,44,20,24,1062,311,569,0,880,182,505,149,272,0,421,84,557,162,297,459,98,169,46,95,141,28,122,80,42,0,Vancouver/Clark County CoC,2.10243231531568,0.196626887526755
130,Washington Balance of State CoC,WA-501,Rural CoCs,5666,1960,1217,0,3177,2489,3730,1266,403,0,1669,2061,1936,694,814,1508,428,593,209,256,465,128,1493,300,0,300,1193,1351,265,0,265,1086,142,35,35,107,390,124,91,0,215,175,356,132,74,0,206,150,32,23,0,0,23,9,324,109,74,0,183,141,52,14,27,41,11,1,0,0,0,1,51,14,27,41,10,77,25,35,60,17,4671,1451,1617,0,3068,1603,2518,814,502,0,1316,1202,2153,637,1115,1752,401,721,214,393,607,114,774,279,0,279,495,617,231,0,231,386,157,48,48,109,303,207,96,7117,1776,3229,0,5005,2112,3170,875,1024,0,1899,1271,3947,901,2205,3106,841,1273,304,711,1015,258,1085,557,528,1,Washington Balance of State CoC,72.1495788746079,16.9519016936414
131,Everett/Snohomish County CoC,WA-504,Suburban CoCs,858,364,116,0,480,378,612,192,75,0,267,345,246,172,41,213,33,74,53,13,66,8,367,97,0,97,270,313,73,0,73,240,54,24,24,30,52,20,0,0,20,32,70,13,26,0,39,31,24,5,9,0,14,10,46,8,17,0,25,21,10,6,3,9,1,3,0,3,3,0,7,6,0,6,1,14,10,3,13,1,947,352,251,0,603,344,620,210,91,0,301,319,327,142,160,302,25,110,43,59,102,8,210,75,0,75,135,158,60,0,60,98,52,15,15,37,64,33,31,2161,421,784,0,1205,956,1212,294,69,0,363,849,949,127,715,842,107,336,40,260,300,36,301,234,67,0,Everett/Snohomish County CoC,5.07570134866083,0.659042175421611
